Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Athmar Park,39.70396000000005,-105.01038999999997,Viet's Restaurant,39.71044817367608,-105.0258251261135,Vietnamese Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Walgreens,39.71078729242074,-105.02464699882694,Pharmacy
Athmar Park,39.70396000000005,-105.01038999999997,SUBWAY,39.71127878130932,-105.02082539319322,Sandwich Place
Athmar Park,39.70396000000005,-105.01038999999997,Vinh Xuong Bakery,39.70986087389628,-105.02602616572749,Bakery
Athmar Park,39.70396000000005,-105.01038999999997,7-Eleven,39.7116422,-105.0141042,Convenience Store
Athmar Park,39.70396000000005,-105.01038999999997,7-Eleven,39.7006688616204,-105.024557411671,Convenience Store
Athmar Park,39.70396000000005,-105.01038999999997,Los gallitos,39.71096072922559,-105.01879324125447,Mexican Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Lollicup,39.697765434570016,-105.02468043415719,Café
Athmar Park,39.70396000000005,-105.01038999999997,Dairy Queen,39.71147442568259,-105.02404913306236,Fast Food Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Pho 555,39.697033940603646,-105.02482333992006,Vietnamese Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,FedEx Office,39.695471,-104.995362,Shipping Store
Athmar Park,39.70396000000005,-105.01038999999997,Associated Wholesale,39.69393001748755,-105.0158019801613,Flower Shop
Athmar Park,39.70396000000005,-105.01038999999997,Godsman Park,39.69374367354204,-105.01588503681987,Park
Athmar Park,39.70396000000005,-105.01038999999997,National Barricade Co Of Denver Inc,39.695881235793316,-105.00013485443849,Clothing Store
Athmar Park,39.70396000000005,-105.01038999999997,Sanderson Gulch Trail,39.6914104086887,-105.005542168324,Trail
Athmar Park,39.70396000000005,-105.01038999999997,Sanderson Gulch Park,39.69189873698225,-105.00354766845703,Park
Athmar Park,39.70396000000005,-105.01038999999997,BC Surf & Sport Warehouse,39.696485474677274,-104.99472495250681,Athletics & Sports
Athmar Park,39.70396000000005,-105.01038999999997,King Soopers Bakery Plant,39.717718,-105.014906,Factory
Auraria,39.74577000000005,-105.01001999999994,Kurios- Cirque Du Soleil,39.74499693971773,-105.01330000192296,Circus
Auraria,39.74577000000005,-105.01001999999994,Pepsi Center,39.748548950912436,-105.00763361318566,Stadium
Auraria,39.74577000000005,-105.01001999999994,Tivoli Brewing Company,39.745494457729656,-105.00547491891221,Brewery
Auraria,39.74577000000005,-105.01001999999994,LUZIA - Cirque du Soleil,39.744862620941625,-105.01356057519158,Circus
Auraria,39.74577000000005,-105.01001999999994,Children's Museum of Denver,39.748706891446325,-105.01706134102001,Museum
Auraria,39.74577000000005,-105.01001999999994,SpringHill Suites Denver Downtown,39.7474574,-105.0039776,Hotel
Auraria,39.74577000000005,-105.01001999999994,Euclid Hall Bar & Kitchen,39.747613,-105.000033,American Restaurant
Auraria,39.74577000000005,-105.01001999999994,Orangetheory Fitness Union Station,39.75098128400561,-105.0037155557359,Gym
Auraria,39.74577000000005,-105.01001999999994,Rhein Haus,39.74834632084779,-105.00053658658578,German Restaurant
Auraria,39.74577000000005,-105.01001999999994,Broncos Stadium at Mile High,39.74390067113495,-105.02013074674686,Football Stadium
Auraria,39.74577000000005,-105.01001999999994,Larimer Square,39.750099812675025,-105.0010583589036,Plaza
Auraria,39.74577000000005,-105.01001999999994,The Denver Center for the Performing Arts,39.74582361807942,-104.99912079629519,General Entertainment
Auraria,39.74577000000005,-105.01001999999994,Rioja,39.747793447894765,-104.9992456016569,Mediterranean Restaurant
Auraria,39.74577000000005,-105.01001999999994,Coohills,39.750764003689326,-105.0038316101289,French Restaurant
Auraria,39.74577000000005,-105.01001999999994,Osteria Marco,39.74807953965701,-104.99899093411048,Italian Restaurant
Auraria,39.74577000000005,-105.01001999999994,Bistro Vendome,39.74758615298366,-104.99906626686852,French Restaurant
Auraria,39.74577000000005,-105.01001999999994,Boettcher Concert Hall,39.7444591985828,-104.99845605693795,Concert Hall
Auraria,39.74577000000005,-105.01001999999994,Minderaser At Elitch's,39.74956155734978,-105.01388726041263,Theme Park
Auraria,39.74577000000005,-105.01001999999994,Patagonia Denver,39.74946153820718,-105.0000895629771,Clothing Store
Auraria,39.74577000000005,-105.01001999999994,Domo Japanese Country Foods Restaurant,39.7381,-105.00565,Japanese Restaurant
Auraria,39.74577000000005,-105.01001999999994,Tag,39.74792531953066,-104.99905385702054,New American Restaurant
Auraria,39.74577000000005,-105.01001999999994,Tattered Cover Bookstore,39.75170514928343,-105.0008991149599,Bookstore
Auraria,39.74577000000005,-105.01001999999994,Four Seasons Hotel Denver,39.746424975798554,-104.9984994101238,Hotel
Auraria,39.74577000000005,-105.01001999999994,ChoLon Bistro,39.75056158248463,-104.99967314976035,Asian Restaurant
Auraria,39.74577000000005,-105.01001999999994,Temple Hoyne Buell Theater,39.74473688229625,-104.99797816205279,Theater
Auraria,39.74577000000005,-105.01001999999994,Illegal Pete's,39.750912,-104.999913,Mexican Restaurant
Auraria,39.74577000000005,-105.01001999999994,Boomerang,39.748359799818886,-105.0143636281071,Theme Park
Auraria,39.74577000000005,-105.01001999999994,Stage Theatre @ Denver Performing Arts Complex,39.74447792749218,-104.99869844761986,Theater
