Business File Number,Latitude,Longitude
2010-BFN-1045789,39.69226786372553,-104.98750769695285
2010-BFN-1045795,39.68468952844941,-104.98758618916257
2013-BFN-1069905,39.67968561226846,-104.98753628472527
2010-BFN-1046299,39.696616529286146,-104.96135322300768
2013-BFN-1070079,39.696616529286146,-104.96135322300768
2013-BFN-1069365,39.68817283236194,-104.98748831805078
2016-BFN-0004033,39.68176500000001,-104.98761567531278
2010-BFN-1045797,39.67933500000001,-104.98760674023302
2010-BFN-1045876,39.67845449956731,-104.96784149999999
2010-BFN-1045857,39.67968561226846,-104.98753628472527
2010-BFN-1045748,39.685175580904854,-104.98750777029855
2013-BFN-1069076,39.682458,-104.9876167146978
2013-BFN-1069170,39.685175580904854,-104.98750777029855
2010-BFN-1045702,39.682458,-104.9876167146978
2014-BFN-0004211,39.762037486005966,-105.013152
2013-BFN-1069587,39.769295489324186,-105.02084199708581
2010-BFN-1045914,39.762037486005966,-105.013152
2010-BFN-1045738,39.752165618933546,-105.0148776330718
2010-BFN-1045740,39.76924753621105,-105.00333249708581
2015-BFN-0002149,39.76929053318127,-105.02038252553523
2010-BFN-1046040,39.747825000000006,-105.02518477751192
2010-BFN-1048452,39.762086481245454,-105.03370366763806
2010-BFN-1045778,39.76937348211084,-105.02807316180969
2015-BFN-0008390,39.75818005995727,-105.01150312003007
2010-BFN-1046049,39.769443366639734,-104.9994557369148
2013-BFN-1069108,39.76924753621105,-105.00333249708581
2013-BFN-1069128,39.762086481245454,-105.03370366763806
2015-BFN-0006479,39.762002536211035,-105.01128863336027
2010-BFN-1045610,39.76929053318127,-105.02038252553523
2010-BFN-1045424,39.769295489324186,-105.02084199708581
2014-BFN-1072818,39.752165618933546,-105.0148776330718
2010-BFN-1045623,39.750812999999994,-105.02531924802331
2015-BFN-0002256,39.782223000000016,-105.00176824023302
2014-BFN-0003849,39.78286708050081,-105.00176879909375
2013-BFN-1065543,39.769444499567314,-105.0396525
2014-BFN-1073564,39.769422442148894,-105.04785127716521
2015-BFN-0001155,39.7838415004327,-105.0536205
2014-BFN-0004815,39.769444499567314,-105.0396525
2010-BFN-1045757,39.776687832361944,-105.05210874412816
2016-BFN-0004024,39.7838415004327,-105.0536205
2010-BFN-1045771,39.72856372162271,-105.05320580521152
2014-BFN-0002267,39.72856372162271,-105.05320580521152
2018-BFN-0002890,39.78377946681872,-104.94159227699232
2013-BFN-1068934,39.78177238190318,-104.96668776308519
2015-BFN-0008475,39.774698832361935,-104.92465721469779
2013-BFN-1069314,39.78732227047732,-104.94086733709707
2010-BFN-1048014,39.78836974854292,-104.95924573754996
2014-BFN-0004811,39.78836974854292,-104.95924573754996
2014-BFN-0002501,39.77264504134694,-104.98940769285618
2010-BFN-1045768,39.773627664723875,-104.94296926966338
2013-BFN-1068858,39.78828899999999,-104.96347627751192
2015-BFN-0008361,39.77890952207279,-104.94219183527612
2015-BFN-0004354,39.77018334802941,-104.97900419412558
2014-BFN-1072789,39.77833442244203,-104.97913575644876
2014-BFN-1070936,39.783240000000006,-104.99432673301966
2013-BFN-1070317,39.7855262514571,-104.95933825855488
2010-BFN-1045891,39.77018334802941,-104.97900419412558
2013-BFN-1069782,39.780542369628364,-104.93519613037165
2010-BFN-1046698,39.78828899999999,-104.96347627751192
2010-BFN-1045401,39.77904642936695,-104.94864899267107
2013-BFN-1068852,39.773627664723875,-104.94296926966338
2013-BFN-1068925,39.778155,-104.92465620811961
2010-BFN-1048159,39.78699688594255,-104.94534725509243
2010-BFN-1048204,39.7855262514571,-104.95933825855488
2016-BFN-0004411,39.77554169216368,-104.92942680128678
2014-BFN-1073638,39.77554169216368,-104.92942680128678
2015-BFN-0001410,39.78388794754457,-104.9666467853022
2013-BFN-1069435,39.777968517312246,-104.911182
2010-BFN-1045454,39.777968517312246,-104.911182
2010-BFN-1048389,39.77833442244203,-104.97913575644876
2010-BFN-1045603,39.765537052455414,-104.99480478357144
2013-BFN-1066867,39.78018148326468,-104.92845291618097
2015-BFN-0002385,39.77974000582839,-104.92007876576824
2015-BFN-0000979,39.778002000000015,-104.96238424865848
2015-BFN-0005032,39.77904642936695,-104.94864899267107
2010-BFN-1045446,39.78377946681872,-104.94159227699232
2015-BFN-0001509,39.773681362456124,-104.97795465748185
2013-BFN-1070422,39.78699688594255,-104.94534725509243
2010-BFN-1046101,39.77974000582839,-104.92007876576824
2013-BFN-1069230,39.765537052455414,-104.99480478357144
2010-BFN-1045395,39.790853999999996,-104.97824826308519
2010-BFN-1045767,39.780542369628364,-104.93519613037165
2010-BFN-1048382,39.77174452596792,-104.99405399999999
2010-BFN-1048057,39.783240000000006,-104.99432673301966
2015-BFN-0007611,39.78454461226846,-104.97833823301967
2015-BFN-0000860,39.77174452596792,-104.99405399999999
2013-BFN-1068869,39.777480156269775,-104.96967232670644
2014-BFN-1070935,39.790853999999996,-104.97824826308519
2014-BFN-0003250,39.78018148326468,-104.92845291618097
2013-BFN-1069051,39.7399994851406,-104.969421
2013-BFN-1068988,39.744045,-104.97336779583378
2013-BFN-1068898,39.73694383236193,-104.97188923633789
2010-BFN-1045510,39.73694383236193,-104.97188923633789
2010-BFN-1047706,39.7399994851406,-104.969421
2010-BFN-1047290,39.744045,-104.97336779583378
2010-BFN-1045806,39.672567000000015,-105.0250367741937
2013-BFN-1066098,39.678648539529256,-105.01689133236194
2013-BFN-1070430,39.72170700000001,-105.02503478472528
2012-BFN-1061009,39.6996278445383,-105.04918654186652
2013-BFN-1069019,39.68832536081135,-105.02503679857507
2010-BFN-1045715,39.71141449711446,-105.052401
2010-BFN-1045907,39.72170700000001,-105.02503478472528
2013-BFN-1068928,39.71120347489747,-105.01821
2010-BFN-1045802,39.70285200000001,-105.02511925855488
2016-BFN-0004876,39.672567000000015,-105.0250367741937
2014-BFN-0003138,39.70285200000001,-105.02511925855488
2010-BFN-1045847,39.711276533181284,-105.02463116472387
2013-BFN-1065290,39.718152,-105.02498828919734
2013-BFN-1068850,39.718152,-105.02498828919734
2010-BFN-1045916,39.71926381932021,-105.02525867473585
2013-BFN-1069081,39.70595391061239,-105.0402237399159
2013-BFN-1069249,39.6996278445383,-105.04918654186652
2015-BFN-0008069,39.71498366472389,-105.0250142741937
2013-BFN-1069656,39.71112752842076,-105.02188166472388
2015-BFN-0007821,39.711276533181284,-105.02463116472387
2013-BFN-1069382,39.74005752899767,-104.918643
2014-BFN-1073780,39.74023446768412,-104.93330399999999
2013-BFN-1070007,39.740237496537546,-104.893092
2010-BFN-1045489,39.74023446768412,-104.93316
2015-BFN-0006731,39.740229533181285,-104.89803266472387
2010-BFN-1045653,39.740229533181285,-104.89803266472387
2014-BFN-1074182,39.740055517889175,-104.91465052553522
2017-BFN-0002554,39.74024649653755,-104.92834091909516
2013-BFN-1069099,39.74004950346246,-104.92715249999999
2015-BFN-0001994,39.740050477927234,-104.92152338773155
2010-BFN-1045638,39.74024649653755,-104.92834091909516
2010-BFN-1045409,39.740237496537546,-104.893092
2013-BFN-1069134,39.74023446768412,-104.93316
2010-BFN-1045777,39.74005752899767,-104.918643
2010-BFN-1045830,39.740050477927234,-104.92152338773155
2010-BFN-1045773,39.74005454342441,-104.9026635
2013-BFN-1069335,39.67949782627376,-104.94071536133094
2010-BFN-1047659,39.67848150764606,-104.91453352553522
2010-BFN-1045491,39.67949782627376,-104.94071536133094
2010-BFN-1045766,39.67276444463039,-104.940688299152
2013-BFN-1069518,39.67848150764606,-104.91453352553522
2010-BFN-1045848,39.66582600000001,-104.94073867863099
2013-BFN-1068991,39.66582600000001,-104.94073867863099
2010-BFN-1045555,39.678463504904755,-104.9195509417162
2013-BFN-1069038,39.678463504904755,-104.9195509417162
2013-BFN-1070231,39.678672497114476,-105.0103797485429
2013-BFN-1069633,39.690918764643065,-104.99224760167954
2013-BFN-1068799,39.69561692200935,-104.9913177258063
2014-BFN-0004312,39.718809375814985,-105.00403645389255
2016-BFN-0008826,39.679406832361934,-104.98990678862042
2013-BFN-1069025,39.711976293900555,-104.99843334442272
2010-BFN-1045386,39.678672497114476,-105.0103797485429
2010-BFN-1048361,39.69531883236195,-105.00028532194592
2010-BFN-1045599,39.72015629850184,-105.01679509531782
2010-BFN-1048362,39.67514983236194,-105.00063668584434
2010-BFN-1045895,39.72042016763805,-104.99855728140706
2013-BFN-1069359,39.69264583236193,-104.99803821527472
2010-BFN-1045759,39.67731900000001,-105.00172629641071
2015-BFN-0000248,39.67547400000001,-104.99225833969086
2010-BFN-1045863,39.69714583236194,-104.9944877369148
2014-BFN-1071510,39.72221999999999,-105.0070782270184
2013-BFN-1069366,39.69531883236195,-105.00028532194592
2010-BFN-1047807,39.713001539529266,-105.00352183236194
2010-BFN-1045918,39.71435942659699,-104.99994187134293
2016-BFN-0003367,39.702797748542906,-104.99923621137957
2017-BFN-0009334,39.70752748514059,-104.99962033236193
2015-BFN-0003926,39.69670652120741,-105.00842169317329
2013-BFN-1068323,39.702797748542906,-104.99923621137957
2010-BFN-1045924,39.71121353318127,-105.0022035
2018-BFN-0004356,39.72061783236194,-105.01320968584434
2016-BFN-0004809,39.67547400000001,-104.99225833969086
2010-BFN-1045839,39.71118949711446,-104.99193
2010-BFN-1047913,39.72061783236194,-105.01320968584434
2015-BFN-0001109,39.67514983236194,-105.00063668584434
2013-BFN-1069436,39.71121353318127,-105.0022035
2015-BFN-0000173,39.67903799999999,-104.99710726366212
2015-BFN-0008353,39.70752748514059,-104.99962033236193
2013-BFN-1070062,39.71118949711446,-104.99193
2015-BFN-0006281,39.679406832361934,-104.98990678862042
2010-BFN-1045779,39.66805195420967,-104.9961037763285
2010-BFN-1045706,39.71641500000001,-104.99853575587183
2015-BFN-0007857,39.69714583236194,-104.9944877369148
2013-BFN-1065559,39.69670652120741,-105.00842169317329
2014-BFN-0005409,39.700557630825685,-104.90906654426875
2014-BFN-0004646,39.65315050822298,-104.90367133236194
2010-BFN-1045695,39.700557630825685,-104.90906654426875
2010-BFN-1045716,39.65315050822298,-104.90367133236194
2010-BFN-1045894,39.701992262305794,-104.91165100856968
2010-BFN-1045744,39.653954999999996,-104.9088258102605
2010-BFN-1045793,39.67841854284748,-104.909121
2010-BFN-1045662,39.69888296863638,-104.90817779136172
2013-BFN-1069018,39.67841854284748,-104.909121
2015-BFN-0000507,39.69888296863638,-104.90817779136172
2013-BFN-1069273,39.652980767084316,-104.88046013654566
2013-BFN-1069815,39.65435969608748,-104.88488961587512
2010-BFN-1045835,39.652980767084316,-104.88046013654566
2010-BFN-1045788,39.65435969608748,-104.88488961587512
2010-BFN-1045856,39.653963600351894,-104.86873132344648
2010-BFN-1048555,39.6919985029142,-105.05316778862043
2010-BFN-1047285,39.69618258090483,-105.0531842525536
2015-BFN-0000352,39.6919985029142,-105.05316778862043
2014-BFN-0004040,39.69618258090483,-105.0531842525536
2013-BFN-1069682,39.63851951009891,-105.03565863765944
2010-BFN-1045403,39.63851951009891,-105.03565863765944
